,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,49.0,0.0,0.17,49.0,0.0,0.0,0.0,273.5878,0.0
1,49.0,0.17,0.45,49.0,0.4,0.0,0.0,450.6152,1.8024608
2,49.0,0.318,0.64,49.0,0.25,0.0,0.0,518.20748,3.0979795
3,49.0,0.64,0.91,49.0,0.36,0.0,0.0,434.5218,4.66225798
4,49.0,0.91,1.02,49.0,0.4,0.0,0.0,177.02739999999997,5.37036758
5,49.0,1.02,1.59,49.0,0.47,0.0,0.0,917.3238,9.68178944
6,49.0,1.59,1.85,49.0,0.47,0.0,0.0,418.4284,11.64840292
7,49.0,1.85,2.06,49.0,0.45,0.0,0.0,337.9613999999999,13.169229219999998
8,49.0,2.06,2.54,49.0,0.3,0.0,0.0,772.4831999999999,15.486678819999998
9,49.0,2.54,2.72,49.0,0.13,0.0,0.0,289.6812000000002,15.86326438
10,49.0,2.72,2.83,49.0,0.27,0.0,0.0,177.0273999999998,16.34123836
11,49.0,2.83,2.89,49.0,0.33,0.0,0.0,96.56040000000009,16.659887679999997
12,49.0,2.89,2.97,49.0,0.4,0.0,0.0,128.7472000000001,17.17487648
13,49.0,2.97,3.01,49.0,0.29,0.0,0.0,64.37359999999934,17.361559919999998
14,49.0,3.01,3.07,49.0,0.2,0.0,0.0,96.56040000000009,17.554680719999997
15,49.0,3.07,3.17,49.0,0.31,0.0,0.0,160.93400000000014,18.05357612
16,49.0,3.17,3.33,49.0,0.35,0.0,0.0,257.4944000000002,18.95480652
17,49.0,3.33,3.41,49.0,0.22,0.0,0.0,128.7472000000001,19.23805036
18,49.0,3.41,3.48,49.0,0.07,0.0,0.0,112.65379999999972,19.31690802
19,49.0,3.48,3.58,49.0,0.12,0.0,0.0,160.93400000000014,19.51002882
20,49.0,3.58,3.65,49.0,0.32,0.0,0.0,112.65379999999972,19.87052098
21,49.0,3.65,3.87,49.0,0.39,0.0,0.0,354.0548000000003,21.2513347
22,49.0,3.87,3.93,49.0,0.29,0.0,0.0,96.56040000000009,21.53135986
